Player,Age,Team,Inn,Fld%,Rtot,Rdrs,DRP,outs_above_average,FRV,Rtot_percentile,Rdrs_percentile,DRP_percentile,outs_above_average_percentile,Fld%_percentile,FRV_percentile
Rhys Hoskins,31,MIL,777.1,0.995,-4.0,-3.0,0.1,-5.0,-2.0,23.86,30.91,47.92,16.23,81.36,38.41
Jake Fraley,29,CIN,776.2,0.99,6.0,-1.0,0.2,1.0,-1.0,76.82,40.45,49.54,50.0,56.14,41.3
Jon Singleton,32,HOU,768.2,0.988,-14.0,-8.0,-1.3,-7.0,,2.73,11.82,34.72,8.38,47.27,
Byron Buxton,30,MIN,767.0,1.0,-19.0,2.0,-4.7,3.0,6.0,0.91,57.95,10.42,61.26,99.09,65.7
Alejandro Kirk,25,TOR,766.0,0.991,6.0,13.0,6.4,,40.0,76.82,93.18,88.89,,61.82,99.52
Jake Rogers,29,DET,761.0,0.996,6.0,13.0,16.4,,11.0,76.82,93.18,98.15,,88.64,77.78
Miguel Rojas,35,LAD,757.0,0.991,5.0,11.0,2.2,12.0,14.0,72.27,88.86,68.29,90.84,61.82,84.54
Kevin Newman,30,ARI,754.1,0.985,3.0,10.0,0.8,6.0,5.0,63.64,83.86,55.79,74.87,37.73,63.04
Tyrone Taylor,30,NYM,754.1,0.985,1.0,10.0,0.8,2.0,10.0,52.27,83.86,55.79,56.54,37.73,75.6
Oswaldo Cabrera,25,NYY,753.1,0.977,-4.0,3.0,0.4,2.0,0.0,23.86,61.59,51.16,56.54,22.73,45.17
Josh Lowe,26,TBR,743.1,0.979,-1.0,-2.0,0.0,-2.0,-8.0,40.23,35.0,46.76,30.1,25.45,17.87
Michael A. Taylor,33,PIT,735.2,0.987,13.0,11.0,4.6,10.0,13.0,93.41,88.86,83.56,86.65,43.64,81.88
Gabriel Moreno,24,ARI,732.0,0.997,4.0,10.0,1.6,,13.0,67.95,83.86,64.12,,93.86,81.88
Christian Vázquez,33,MIN,731.1,0.995,2.0,7.0,8.0,,7.0,58.86,75.68,90.51,,81.36,69.32
Tyler Fitzgerald,26,SFG,728.1,0.955,-5.0,-5.0,-0.4,-2.0,-4.0,20.23,22.5,42.82,30.1,1.82,30.19
Zach McKinstry,29,DET,727.1,0.962,4.0,1.0,-1.6,2.0,2.0,67.95,52.5,32.87,56.54,5.23,55.31
Francisco Alvarez,22,NYM,726.0,0.993,-6.0,-1.0,5.7,,-4.0,16.36,40.45,87.96,,72.05,30.19
José Miranda,26,MIN,723.2,0.975,-2.0,1.0,,,,33.18,52.5,,,20.0,
